date_id,currency_code,exchange_rate
2019-08-11 00:00:00,EUR,89.265
2019-08-12 00:00:00,EUR,891.502
2019-08-13 00:00:00,EUR,894.898
2019-08-14 00:00:00,EUR,89.738
2019-08-15 00:00:00,EUR,8.999
2019-08-16 00:00:00,EUR,90.135
2019-08-17 00:00:00,EUR,90.135
2019-08-18 00:00:00,EUR,901.603
2019-08-19 00:00:00,EUR,9.023
2019-08-20 00:00:00,EUR,9.009
2019-08-21 00:00:00,EUR,901.735
2019-08-22 00:00:00,EUR,90.243
2019-08-23 00:00:00,EUR,88.964
2019-08-24 00:00:00,EUR,88.964
2019-08-25 00:00:00,EUR,897.094
2019-08-26 00:00:00,EUR,900.905
2019-08-27 00:00:00,EUR,901.597
2019-08-28 00:00:00,EUR,90.218
2019-08-29 00:00:00,EUR,90.416
2019-08-30 00:00:00,EUR,908.225
2019-08-31 00:00:00,EUR,908.225
2019-09-01 00:00:00,EUR,90.987
2019-09-02 00:00:00,EUR,911.985
2019-09-03 00:00:00,EUR,91.132
2019-09-04 00:00:00,EUR,906.302
2019-09-05 00:00:00,EUR,90.615
2019-09-06 00:00:00,EUR,89.827
2019-09-07 00:00:00,EUR,89.827
2019-09-08 00:00:00,EUR,90.715
2019-09-09 00:00:00,EUR,905.196
2019-09-10 00:00:00,EUR,90.515
2019-09-11 00:00:00,EUR,90.835
2019-09-12 00:00:00,EUR,904.445
2019-09-13 00:00:00,EUR,89.634
2019-09-14 00:00:00,EUR,89.634
2019-09-15 00:00:00,EUR,902.225
2019-09-16 00:00:00,EUR,908.755
2019-09-17 00:00:00,EUR,903.204
2019-09-18 00:00:00,EUR,906.415
2019-09-19 00:00:00,EUR,905.703
2019-09-20 00:00:00,EUR,907.855
2019-09-21 00:00:00,EUR,907.855
2019-09-22 00:00:00,EUR,907.705
2019-09-23 00:00:00,EUR,909.445
2019-09-24 00:00:00,EUR,90.749
2019-09-25 00:00:00,EUR,913.285
2019-09-26 00:00:00,EUR,915.765
2019-09-27 00:00:00,EUR,91.399
2019-09-28 00:00:00,EUR,91.399
2019-09-29 00:00:00,EUR,91.377
2019-09-30 00:00:00,EUR,917.595
